Image_url,Text_label,Product
https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltas0od783vd11@resize_w900_nl.webp,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://st.meta.vn/Data/image/2024/08/26/dieu-hoa-panasonic-ru9akh-8-g.jpg,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://st.meta.vn/Data/Image/2024/08/26/dieu-hoa-panasonic-ru9akh-8-s2.jpg,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://st.meta.vn/Data/Image/2024/08/26/dieu-hoa-panasonic-ru9akh-8-s3.jpg,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://st.meta.vn/Data/Image/2024/08/26/dieu-hoa-panasonic-ru9akh-8-s5.jpg,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-ltas0od75aqh5f.webp,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://st.meta.vn/Data/Image/2024/08/26/dieu-hoa-panasonic-ru9akh-8-s4.jpg,Điều hòa,Điều hòa Panasonic Inverter 9000BTU CU/CS-XPU9XKH-8
https://cdn.tgdd.vn/comment/56991932/imageWOWJQ.jpg,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://cdn.tgdd.vn/comment/57238783/loyalty_17218101766150KZ5M.jpg,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://cdn.tgdd.vn/comment/56923976/loyalty_1714547290533RKSL1.jpg,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://images.samsung.com/is/image/samsung/p6pim/vn/f-ar13cyfaa/gallery/vn-ar9500-wall-mount-ac-with-windfree-metal-cooling-wifi-1-f-ar13cyfaa-545441604?$684_547_PNG$,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://images.samsung.com/is/image/samsung/p6pim/vn/f-ar13cyfaa/gallery/vn-ar9500-wall-mount-ac-with-windfree-metal-cooling-wifi-1-f-ar13cyfaa-thumb-545441928?$64_64_PNG$,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://images.samsung.com/is/image/samsung/p6pim/vn/f-ar13cyfaa/gallery/vn-ar9500-wall-mount-ac-with-windfree-metal-cooling-wifi-1-f-ar13cyfaa-thumb-545441718?$64_64_PNG$,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://images.samsung.com/is/image/samsung/p6pim/vn/f-ar13cyfaa/gallery/vn-ar9500-wall-mount-ac-with-windfree-metal-cooling-wifi-1-f-ar13cyfaa-thumb-545441915?$64_64_PNG$,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
https://images.samsung.com/is/image/samsung/p6pim/vn/f-ar13cyfaa/gallery/vn-ar9500-wall-mount-ac-with-windfree-metal-cooling-wifi-1-f-ar13cyfaa-thumb-545441622?$104_104_PNG$,Điều hòa,Điều hòa Samsung Wind-Free 12000BTU AR13CYFAAWKNSV
